Porosity [-],Bulk Density [g/cm3],Saturated Thermal Conductivity [W/mK],Dry Soil Thermal Conductivity [W/mK],Saturated Hydraulic Conductivity [m/s],alpha [1/m], n [-],s_r [-],,,Dry Soil Thermal Conductivity [W/mK],,,,Porosity [-],,,,Saturated Hydraulic Conductivity [m/s],,,alpha [1/m]
0.30,1.85,2.48,0.55,4.47E-06,0.0006,1.386,0,,0.02,0.16,,,1.8554216867,0.0080321285,,,1.2168674699,2E-09,,1.85,0.0006
0.31,1.77,2.03,0.57,1.85E-07,0.0012,1.374,0,,0.04,0.08,,,1.8995983936,0.0401606426,,,1.6317269076,6.94E-09,,1.77,0.0012
0.61,0.60,,,,0.0025,1.362,0.003,,0.05,0.06,,,1.8313253012,0.1526104418,,,1.3534136546,8E-09,,0.60,0.0025
0.64,0.87,0.94,0.23,1.16E-08,0.0030,1.274,0,,0.05,0.23,,,1.5502008032,0.2289156627,,,1.24,1.16E-08,,0.87,0.0030
0.61,0.92,,,3.29E-07,0.0033,1.349,0,,0.05,0.05,,,1.85,0.30,,,1.49,1.16E-08,,0.92,0.0033
0.89,0.17,0.50,,4.54E-05,0.0043,2.099,0.176,,0.05,0.04,,,1.97,0.31,,,1.55,1.16E-08,,0.17,0.0043
0.69,0.40,,,5.01E-07,0.0061,1.727,0.185,,0.05,0.06,,,1.77,0.31,,,1.78,1.16E-08,,0.40,0.0061
0.72,0.68,0.74,0.12,1.81E-05,0.0066,2.74,0.4,,0.05,0.04,,,1.6887550201,0.3220883534,,,1.97,1.16E-08,,0.68,0.0066
0.89,0.20,,,7.69E-04,0.0071,1.319,0,,0.05,0.05,,,1.3212851406,0.3253012048,,,1.8313253012,1E-08,,0.20,0.0071
0.79,0.22,0.58,0.10,1.93E-07,0.0082,1.677,0.015,,0.05,0.05,,,1.47,0.34,,,1.2851405622,1E-08,,0.22,0.0082
0.82,0.38,0.63,0.14,3.24E-06,0.0090,1.68,0.042,,0.06,0.08,,,1.3975903614,0.3413654618,,,1.2008032129,1E-08,,0.38,0.0090
0.83,0.22,0.57,0.09,1.03E-04,0.0121,1.452,0,,0.06,0.06,,,1.76,0.36,,,0.87,1.16E-08,,0.22,0.0121
0.84,0.21,0.56,0.07,5.45E-08,0.0148,1.438,0.024,,0.06,0.09,,,1.2008032129,0.359437751,,,1.19,2.31E-08,,0.21,0.0148
0.78,0.14,0.57,0.08,,0.0192,1.556,0.019,,0.06,0.07,,,1.78,0.36,,,0.98,2.31E-08,,0.14,0.0192
0.92,0.08,,,4.05E-04,0.0235,1.501,0.017,,0.06,0.03,,,1.1927710843,0.3654618474,,,1.1124497992,2E-08,,0.08,0.0235
