Layer_ID1;Layer_ID;Site_ID;Soil_ID;Point_ID;Soil_ID2;Temp;CpT;STD_cp
;;;;;;;J/g/K;stand. Dev.
P1;A;I;M;P1_1;Torf1;-20;1.199;0.034244221
P1;A;I;M;P1_2;Torf1;-15;1.22275;0.026017622
P1;A;I;M;P1_3;Torf1;-10;1.24225;0.028686524
P1;A;I;M;P1_4;Torf1;-5;1.27025;0.037268172
P1;A;I;M;P1_5;Torf1;0;1.28725;0.042216703
P1;A;I;M;P1_6;Torf1;5;1.31175;0.039381679
P1;A;I;M;P1_7;Torf1;10;1.3425;0.031246333
P1;A;I;M;P1_8;Torf1;15;1.3545;0.02474537
P1;A;I;M;P1_9;Torf1;20;1.38125;0.039296946
P1;A;I;M;P1_10;Torf1;25;1.40525;0.053425181
P1;A;I;M;P1_11;Torf1;30;1.4095;0.052829916
P2;B;I;R;P2_1;Torf2;-20;1.02075;0.010965856
P2;B;I;R;P2_2;Torf2;-15;1.0595;0.028780781
P2;B;I;R;P2_3;Torf2;-10;1.07175;0.020613507
P2;B;I;R;P2_4;Torf2;-5;1.10275;0.011086779
P2;B;I;R;P2_5;Torf2;0;1.12875;0.022662377
P2;B;I;R;P2_6;Torf2;5;1.13975;0.010874282
P2;B;I;R;P2_7;Torf2;10;1.17275;0.01332604
P2;B;I;R;P2_8;Torf2;15;1.1835;0.027294688
P2;B;I;R;P2_9;Torf2;20;1.20625;0.0145
P2;B;I;R;P2_10;Torf2;25;1.2315;0.021563859
P2;B;I;R;P2_11;Torf2;30;1.236;0.023776739
P3;C;I;R;P3_1;Torf3;-20;1.00185;0.056846548
P3;C;I;R;P3_2;Torf3;-15;1.03685;0.039107842
P3;C;I;R;P3_3;Torf3;-10;1.052;0.039251327
P3;C;I;R;P3_4;Torf3;-5;1.08275;0.052060061
P3;C;I;R;P3_5;Torf3;0;1.108;0.067503086
P3;C;I;R;P3_6;Torf3;5;1.11625;0.057424588
P3;C;I;R;P3_7;Torf3;10;1.14875;0.048258851
P3;C;I;R;P3_8;Torf3;15;1.1645;0.027537853
P3;C;I;R;P3_9;Torf3;20;1.184;0.050721462
P3;C;I;R;P3_10;Torf3;25;1.2095;0.053774219
P3;C;I;R;P3_11;Torf3;30;1.2125;0.067658456
P4;D;II;M;P4_1;Torf7;-20;1.1321;0.15440911
P4;D;II;M;P4_2;Torf7;-15;1.14675;0.131717817
P4;D;II;M;P4_3;Torf7;-10;1.177;0.139056343
P4;D;II;M;P4_4;Torf7;-5;1.195;0.160391188
P4;D;II;M;P4_5;Torf7;0;1.215;0.149209026
P4;D;II;M;P4_6;Torf7;5;1.24925;0.145192688
P4;D;II;M;P4_7;Torf7;10;1.27275;0.140167459
P4;D;II;M;P4_8;Torf7;15;1.27725;0.136385178
P4;D;II;M;P4_9;Torf7;20;1.309;0.15110482
P4;D;II;M;P4_10;Torf7;25;1.32875;0.168038438
P4;D;II;M;P4_11;Torf7;30;1.35325;0.162881092
P5;E;II;SR;P5_1;Torf8;-20;1.1615;0.011387127
P5;E;II;SR;P5_2;Torf8;-15;1.1765;0.020744477
P5;E;II;SR;P5_3;Torf8;-10;1.20725;0.01835529
P5;E;II;SR;P5_4;Torf8;-5;1.242;0.017378147
P5;E;II;SR;P5_5;Torf8;0;1.2565;0.021142375
P5;E;II;SR;P5_6;Torf8;5;1.28575;0.0159243
P5;E;II;SR;P5_7;Torf8;10;1.31;0.020461346
P5;E;II;SR;P5_8;Torf8;15;1.3295;0.024986663
P5;E;II;SR;P5_9;Torf8;20;1.3615;0.019485037
P5;E;II;SR;P5_10;Torf8;25;1.37225;0.012996794
P5;E;II;SR;P5_11;Torf8;30;1.39425;0.018391574
P6;F;II;R;P6_1;Torf9;-20;1.0805;0.011733144
P6;F;II;R;P6_2;Torf9;-15;1.098;0.031968735
P6;F;II;R;P6_3;Torf9;-10;1.12;0.010677078
P6;F;II;R;P6_4;Torf9;-5;1.1565;0.022397917
P6;F;II;R;P6_5;Torf9;0;1.1685;0.025
P6;F;II;R;P6_6;Torf9;5;1.1815;0.007325754
P6;F;II;R;P6_7;Torf9;10;1.21425;0.027317577
P6;F;II;R;P6_8;Torf9;15;1.2305;0.02028957
P6;F;II;R;P6_9;Torf9;20;1.26175;0.01734695
P6;F;II;R;P6_10;Torf9;25;1.2735;0.018484228
P6;F;II;R;P6_11;Torf9;30;1.28475;0.018697148
P7;G;III;M;P7_1;Torf10;-20;1.07275;0.03725028
P7;G;III;M;P7_2;Torf10;-15;1.10125;0.048767305
P7;G;III;M;P7_3;Torf10;-10;1.11075;0.050049143
P7;G;III;M;P7_4;Torf10;-5;1.1395;0.038552994
P7;G;III;M;P7_5;Torf10;0;1.16325;0.030192438
P7;G;III;M;P7_6;Torf10;5;1.183;0.033635299
P7;G;III;M;P7_7;Torf10;10;1.209;0.040914545
P7;G;III;M;P7_8;Torf10;15;1.22375;0.054555018
P7;G;III;M;P7_9;Torf10;20;1.2435;0.039416579
P7;G;III;M;P7_10;Torf10;25;1.26775;0.032325171
P7;G;III;M;P7_11;Torf10;30;1.27775;0.02804015
P8;H;III;Ad;P8_1;Torf11;-20;1.172;0.015556349
P8;H;III;Ad;P8_2;Torf11;-15;1.18075;0.019015345
P8;H;III;Ad;P8_3;Torf11;-10;1.214;0.019714631
P8;H;III;Ad;P8_4;Torf11;-5;1.245;0.029799329
P8;H;III;Ad;P8_5;Torf11;0;1.2515;0.032005208
P8;H;III;Ad;P8_6;Torf11;5;1.28575;0.016276261
P8;H;III;Ad;P8_7;Torf11;10;1.3015;0.014271183
P8;H;III;Ad;P8_8;Torf11;15;1.32725;0.014591664
P8;H;III;Ad;P8_9;Torf11;20;1.36075;0.026911893
P8;H;III;Ad;P8_10;Torf11;25;1.371;0.039974992
P8;H;III;Ad;P8_11;Torf11;30;1.395;0.0178699
P9;I;III;Ad;P9_1;Torf12;-20;1.228;0.033625387
P9;I;III;Ad;P9_2;Torf12;-15;1.232;0.063963531
P9;I;III;Ad;P9_3;Torf12;-10;1.26125;0.038361222
P9;I;III;Ad;P9_4;Torf12;-5;1.28675;0.029170476
P9;I;III;Ad;P9_5;Torf12;0;1.3005;0.022693611
P9;I;III;Ad;P9_6;Torf12;5;1.3365;0.042335958
